data_estimativa;data_pagamento;base_de_calculo;perc_transmitido;'finalidade_construcao';'logradouro';n_endereco;'n_unidade';'complemento_endereco';'bairro';cep;area_total_terreno;area_constr_total;area_constr_privativa;ano_construcao;'n_matricula_reg_imoveis';'n_zona_reg_imoveis';'situacao'
2024/03/19 00:00:00;;250000.00;50.00;'SALA COMERCIAL';'Rua QUINTINO BOCAIUVA';1035;'201';;'MOINHOS VENTO';90440051;0.00;74.41;49.60;1992;'112626';'1';'Lançada'
2024/03/19 00:00:00;;125000.00;50.00;'SALA COMERCIAL';'Rua QUINTINO BOCAIUVA';1035;'204';;'MOINHOS VENTO';90440051;0.00;37.78;25.18;1992;'112629';'1';'Lançada'
2024/03/14 00:00:00;;950000.00;100.00;'APARTAMENTO DE COBERTURA';'Rua FELIPE NERI';465;'1004';;'AUXILIADORA';90440150;0.00;162.60;107.21;1999;'142544';'1';'Lançada'
2024/03/19 00:00:00;;200000.00;100.00;'SALA COMERCIAL';'Rua QUINTINO BOCAIUVA';1035;'203';;'MOINHOS VENTO';90440051;0.00;60.32;40.21;1992;'112628';'1';'Lançada'
2024/03/19 00:00:00;;234000.00;50.00;'SALA COMERCIAL';'Rua QUINTINO BOCAIUVA';1035;'205';;'MOINHOS VENTO';90440051;0.00;44.73;29.82;1992;'112630';'1';'Lançada'
2024/03/14 00:00:00;;70000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua FELIPE NERI';465;'5';;'AUXILIADORA';90440150;0.00;66.71;20.60;2000;'142556';'1';'Lançada'
2024/02/21 00:00:00;;195000.00;100.00;'APARTAMENTO';'Rua ITABORAI';380;'209';;'JARDIM BOTANICO';90670030;0.00;60.93;53.35;1973;'2776';'2';'Lançada'
2024/02/23 00:00:00;;468000.00;57.70;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua DR ALCIDES CRUZ';379;;;'SANTA CECILIA';90630160;231.00;150.25;150.25;2002;'78899';'2';'Lançada'
2024/02/23 00:00:00;;172000.00;21.15;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua DR ALCIDES CRUZ';379;;;'SANTA CECILIA';90630160;231.00;150.25;150.25;2002;'78899';'2';'Lançada'
2024/02/23 00:00:00;;172000.00;21.15;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Rua DR ALCIDES CRUZ';379;;;'SANTA CECILIA';90630160;231.00;150.25;150.25;2002;'78899';'2';'Lançada'
2024/02/22 00:00:00;;121391.00;100.00;'APARTAMENTO';'Rua AMOROSO COSTA';76;'205';;'CRISTO REDENTOR';91040010;0.00;39.67;34.10;1981;'38258';'4';'Lançada'
2024/02/21 00:00:00;;232000.00;100.00;'SALA COMERCIAL';'Rua RAMIRO BARCELOS';1954;'301';;'RIO BRANCO';90035000;0.00;55.81;32.13;1996;'122506';'1';'Lançada'
2024/02/21 00:00:00;;50000.00;100.00;'ESPACO DE ESTACIONAMENTO NAO RESIDENCIAL';'Rua RAMIRO BARCELOS';1954;'6';;'RIO BRANCO';90035000;0.00;18.64;12.00;1996;'122494';'1';'Lançada'
2024/02/21 00:00:00;;510000.00;100.00;'APARTAMENTO';'Avenida CEL LUCAS DE OLIVEIRA';138;'204';;'AUXILIADORA';90440011;0.00;127.03;97.09;1996;'120905';'1';'Lançada'
2024/02/23 00:00:00;;540000.00;57.70;'RESIDENCIA ISOLADA';'Rua DR ALCIDES CRUZ';385;;;'SANTA CECILIA';90630160;237.60;231.00;231.00;2010;'71464';'2';'Lançada'
2024/02/23 00:00:00;;198000.00;21.15;'RESIDENCIA ISOLADA';'Rua DR ALCIDES CRUZ';385;;;'SANTA CECILIA';90630160;237.60;231.00;231.00;2010;'71464';'2';'Lançada'
2024/02/23 00:00:00;;198000.00;21.15;'RESIDENCIA ISOLADA';'Rua DR ALCIDES CRUZ';385;;;'SANTA CECILIA';90630160;237.60;231.00;231.00;2010;'71464';'2';'Lançada'
2024/02/23 00:00:00;;109000.00;57.70;;'Rua DR ALCIDES CRUZ';389;;;'SANTA CECILIA';90630160;70.40;;;;'124147';'2';'Lançada'
2024/02/23 00:00:00;;57000.00;30.09;;'Rua DR ALCIDES CRUZ';389;;;'SANTA CECILIA';90630160;70.40;;;;'124147';'2';'Lançada'
2024/02/23 00:00:00;;57000.00;30.09;;'Rua DR ALCIDES CRUZ';389;;;'SANTA CECILIA';90630160;70.40;;;;'124147';'2';'Lançada'
2024/02/21 00:00:00;;40000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida CEL LUCAS DE OLIVEIRA';138;'8';;'AUXILIADORA';90440011;0.00;13.10;10.58;1996;'120894';'1';'Lançada'
2024/02/21 00:00:00;;40000.00;100.00;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Avenida CEL LUCAS DE OLIVEIRA';138;'3';;'AUXILIADORA';90440011;0.00;13.10;10.58;1996;'120889';'1';'Lançada'
2024/01/04 00:00:00;;366868.67;33.33;;'Estrada BR CENTO DEZESSEIS';4600;;'BR 116 - 2900 ARQ.ILHA DOS CARÁS PEQUENOS';'ANCHIETA';90200000;353098.00;;;;'20862';'1';'Lançada'
2024/03/26 00:00:00;;8543458.00;100.00;'UNIDADE DE COMERCIO E SERVICO ISOLADA';'Avenida IPIRANGA';6929;;;'PARTENON';90160092;5152.00;1416.00;1416.00;1975;'187683';'3';'Lançada'
2024/10/12 00:00:00;;1835000.00;100.00;'APARTAMENTO DE COBERTURA';'Avenida DR NILO PECANHA';2221;'601';;'TRES FIGUEIRAS';91330000;0.00;626.90;367.03;1994;'97939';'4';'Lançada'
2024/10/12 00:00:00;;1835000.00;100.00;'APARTAMENTO DE COBERTURA';'Avenida DR NILO PECANHA';2221;'602';;'TRES FIGUEIRAS';91330000;0.00;626.90;367.03;1994;'97940';'4';'Lançada'
2024/10/11 00:00:00;;730000.00;33.33;'APARTAMENTO';'Rua SANTO INACIO';473;'301';;'MOINHOS VENTO';90570150;0.00;439.68;278.39;1989;'145996';'1';'Lançada'
2024/10/11 00:00:00;;20000.00;33.33;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua SANTO INACIO';473;'1';;'MOINHOS VENTO';90570150;0.00;26.74;16.93;1989;'146003';'1';'Lançada'
2024/10/11 00:00:00;;20000.00;33.33;'ESPACO DE ESTACIONAMENTO RESIDENCIAL';'Rua SANTO INACIO';473;'2';;'MOINHOS VENTO';90570150;0.00;26.51;16.79;1989;'146004';'1';'Lançada'
2024/07/03 00:00:00;;1300000.00;100.00;'APARTAMENTO';'Avenida DR NILO PECANHA';2221;'201';;'TRES FIGUEIRAS';91330000;0.00;312.22;178.27;1994;'97931';'4';'Lançada'
2024/07/03 00:00:00;;1325000.00;100.00;'APARTAMENTO';'Avenida DR NILO PECANHA';2221;'302';;'TRES FIGUEIRAS';91330000;0.00;312.22;178.27;1994;'97934';'4';'Lançada'
